id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4708,3708.627162,3708.627162,3163.981367,3163.981367,2459.640013
4709,1778.556884,1778.556884,3012.627698,2340.74527,2691.191034
4710,1370.167871,1370.167871,1370.167871,1370.167871,6250.178862
4711,1148.282612,1148.282612,1148.282612,1148.282612,5729.855415
4712,1312.321412,1312.321412,1312.321412,1312.321412,5350.961123
4713,534.585671,534.585671,531.5038959,531.5038959,1433.793332
4714,3046.4026,3046.4026,2301.652119,2301.652119,8734.2578
4715,1412.026704,1412.026704,565.6727003,565.6727003,1412.026704
4716,4295.180119,4295.180119,4189.823963,4189.823963,3084.099323
4717,513.6406296,513.6406296,495.3849586,495.3849586,6525.954077
4718,719.2897176,719.2897176,719.2897176,719.2897176,719.2897176
4719,476.2136452,476.2136452,476.2136452,476.2136452,7186.533143
4720,8189.037559,8189.037559,9946.809682,9946.809682,5219.23762
4721,4655.330499,4655.330499,2079.137223,2079.137223,7231.510898
4722,1548.074362,1492.853574,3338.568967,3338.568967,3549.708608
4723,4326.590932,4326.590932,2307.576186,2307.576186,6316.644221
4724,3275.827997,3275.827997,1645.660636,1645.660636,5602.47261
4725,708.7399525,708.7399525,708.7399525,708.7399525,7477.420873
4726,830.0272741,830.0272741,830.0272741,830.0272741,2034.17853
4727,3079.166048,3079.166048,1747.423906,1747.423906,6211.645699
4728,1536.878986,1536.878986,1536.878986,1536.878986,8081.981746
4729,3020.240421,3020.240421,2530.535635,2712.961147,7157.141449
4730,1408.390547,1408.390547,1408.390547,1860.06518,3372.87654
4731,4032.830882,4032.830882,2071.748719,2071.748719,6203.53307
4732,1349.21223,1349.21223,1162.719898,1162.719898,7796.426425
4733,2845.672174,2845.672174,4245.721903,4245.721903,995.1918492
4734,2269.37791,2269.37791,2229.825306,2229.825306,2269.37791
4735,6107.23681,6107.23681,5800.51747,5800.51747,1393.868515
4736,2327.140292,2327.140292,2138.662123,2138.662123,4250.128459
4737,3868.243688,3868.243688,3068.398081,3068.398081,1315.997768
4738,557.0506958,557.0506958,557.0506958,557.0506958,7211.378881
4739,1388.539389,1388.539389,1388.539389,1388.539389,1388.539389
4740,3173.782306,3173.782306,2247.324167,2247.324167,8244.604309
4741,917.4068761,917.4068761,160.2796115,160.2796115,6349.394204
4742,1767.87057,1767.87057,1615.88843,1615.88843,4173.692784
4743,4037.584087,4037.584087,1593.622934,1593.622934,6530.672305
4744,1751.854994,1751.854994,1751.854994,1751.854994,8412.800322
4745,703.4652993,703.4652993,703.4652993,703.4652993,5860.173256
4746,2535.759757,2535.759757,2535.759757,2535.759757,8953.402441
4747,630.3127928,630.3127928,423.3581476,423.3581476,6256.41403
4748,2122.545199,2122.545199,1692.898212,1692.898212,2122.545199
4749,3447.733819,3447.733819,3294.361563,3294.361563,3322.411666
4750,2303.838114,2303.838114,1916.039012,1916.039012,4870.504104
4751,977.870102,977.870102,977.870102,977.870102,5720.840762
4752,3215.136874,3215.136874,2557.998054,2557.998054,3913.561116
4753,4106.165204,4106.165204,1411.264754,1411.264754,6611.212166
4754,2488.439772,2488.439772,2028.777266,2028.777266,4850.972323
4755,873.0463205,873.0463205,1271.671651,1271.671651,2267.085784
4756,3049.287827,3049.287827,2268.221622,2268.221622,1142.690819
4757,2513.840222,2513.840222,1759.392739,1759.392739,4745.188393
4758,3408.916075,3408.916075,2026.347346,2026.347346,8174.97553
4759,1786.610428,1786.610428,1541.360296,1541.360296,4878.948514
4760,2427.597547,2427.597547,2427.597547,2695.777815,4232.44562
4761,394.0987979,394.0987979,394.0987979,730.8606422,7025.120512
4762,3154.997719,3154.997719,2324.15901,2324.15901,8590.037233
4763,3369.185806,3369.185806,2511.127775,2511.127775,3837.9746
4764,3380.810655,3380.810655,3052.457362,3284.246008,7245.046504
4765,3389.018724,3389.018724,744.5092148,744.5092148,5889.496487
4766,3467.031666,3467.031666,2609.548121,2609.548121,5108.480539
4767,1554.518149,1554.518149,1554.518149,1554.518149,5486.293455
4768,4774.717155,4774.717155,2196.157534,2196.157534,7184.810771
